subject,bloom_taxonomy_level,stem_word_count,stem_char_count,stem_unique_ratio,num_options,avg_option_word_count,std_option_word_count,avg_option_char_count,correct_answer_index,pairwise_avg_jaccard,avg_distractor_jaccard_to_correct,min_distractor_jaccard_to_correct,max_distractor_jaccard_to_correct,explanation_word_count,expl_to_question_jaccard,expl_to_correct_jaccard,expl_to_distractor_avg_jaccard,expl_new_info_ratio,expl_contains_correct_verbatim,citation_length,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,expl_semantic_to_question_cos,expl_semantic_to_correct_cos
ai,understand,26,216,1.0,4,16.5,4.15,124.0,2,0.339,0.4,0.214,0.522,44,0.167,0.294,0.205,0.591,False,0,21.3,17.24,18.24,19.81,0.7503,0.8553
ai,understand,10,78,1.0,4,11.75,1.3,69.25,1,0.282,0.409,0.091,0.857,32,0.024,0.154,0.101,0.812,False,0,27.49,11.91,14.55,20.1,0.574,0.7463
ai,analyze,27,178,1.0,4,13.0,0.71,71.25,0,0.153,0.206,0.083,0.286,45,0.125,0.094,0.108,0.778,False,0,65.57,7.96,12.16,8.67,0.5289,0.7095
ai,understand,13,99,1.0,4,13.0,3.61,82.0,0,0.145,0.192,0.154,0.238,36,0.089,0.256,0.118,0.667,False,0,24.44,13.08,14.55,19.85,0.5909,0.77
ai,understand,18,126,1.0,4,3.5,0.87,18.0,2,0.081,0.114,0.0,0.2,27,0.125,0.111,0.109,0.741,False,0,59.64,9.91,13.02,11.72,0.6278,0.5143
ai,understand,18,111,1.0,4,7.0,1.22,44.75,0,0.224,0.22,0.143,0.364,25,0.162,0.259,0.107,0.48,False,0,42.87,11.75,14.55,12.2,0.6739,0.7711
ai,apply,23,147,1.0,4,1.0,0.0,1.25,1,0.0,0.0,0.0,0.0,19,0.273,0.053,0.0,0.526,True,0,75.43,6.34,11.21,4.76,0.8819,0.3843
ai,understand,16,102,1.0,4,13.75,6.02,93.5,0,0.151,0.173,0.065,0.241,23,0.219,0.27,0.137,0.522,False,0,60.19,9.09,13.02,9.75,0.7787,0.8713
ai,understand,19,158,1.0,4,11.5,0.5,92.0,1,0.174,0.172,0.095,0.278,27,0.211,0.219,0.129,0.593,False,0,15.31,16.59,15.9,17.92,0.6641,0.7213
ai,understand,29,213,1.0,4,12.25,3.9,83.75,1,0.117,0.088,0.074,0.115,36,0.25,0.25,0.07,0.444,False,0,23.43,13.47,14.55,18.75,0.7173,0.7334
ai,apply,36,285,1.0,4,2.0,0.0,4.25,2,0.333,0.333,0.333,0.333,44,0.111,0.045,0.022,0.795,True,0,50.91,9.08,11.7,7.1,0.603,0.2293
ai,apply,37,263,1.0,4,2.0,0.0,5.0,1,0.333,0.333,0.333,0.333,42,0.162,0.048,0.023,0.69,True,0,58.2,7.18,9.89,6.9,0.5812,0.3271
ai,understand,20,192,1.0,4,12.25,1.64,111.75,1,0.089,0.098,0.04,0.13,28,0.171,0.103,0.045,0.643,False,0,-7.78,20.06,20.27,24.77,0.7422,0.823
ai,apply,21,105,1.0,4,4.0,0.0,9.5,0,0.467,0.511,0.333,0.6,26,0.27,0.154,0.112,0.615,True,0,71.78,7.97,8.84,5.23,0.8043,0.6138
ai,apply,24,159,1.0,4,5.5,2.18,27.0,0,0.222,0.222,0.0,0.333,28,0.182,0.107,0.098,0.643,True,0,29.0,14.93,17.12,12.67,0.5943,0.548
ai,apply,18,111,1.0,4,9.25,1.79,59.5,3,0.682,0.788,0.636,1.0,31,0.089,0.235,0.191,0.677,False,0,40.29,11.86,15.9,11.8,0.6586,0.5958
ai,apply,26,153,1.0,4,3.25,1.48,25.75,2,0.145,0.206,0.0,0.333,37,0.212,0.105,0.035,0.595,False,0,66.54,11.18,13.02,6.38,0.7342,0.4417
ai,apply,24,169,1.0,4,3.5,1.5,8.25,0,0.489,0.378,0.333,0.4,31,0.25,0.065,0.082,0.613,True,0,61.89,8.35,12.16,7.55,0.8024,0.2472
ai,understand,17,126,1.0,4,20.5,4.33,128.5,0,0.214,0.2,0.179,0.211,37,0.08,0.444,0.072,0.378,False,0,28.77,13.72,15.9,17.03,0.6585,0.7702
ai,apply,11,82,1.0,4,18.5,1.8,119.0,1,0.106,0.105,0.088,0.114,22,0.065,0.194,0.072,0.591,False,0,26.47,12.3,13.02,18.42,0.5671,0.7298
ai,apply,24,133,1.0,4,11.25,1.3,66.5,0,0.119,0.116,0.042,0.211,32,0.191,0.154,0.104,0.656,False,0,61.45,10.15,11.21,8.43,0.8298,0.4884
ai,understand,13,121,1.0,4,10.5,3.2,79.75,1,0.112,0.14,0.087,0.19,22,0.207,0.31,0.058,0.364,False,0,-21.11,19.43,17.12,29.66,0.7425,0.5634
ai,understand,16,128,1.0,4,10.75,2.49,74.25,2,0.114,0.171,0.043,0.333,23,0.219,0.267,0.134,0.435,False,0,19.37,15.03,17.12,18.0,0.7396,0.5186
ai,understand,16,94,1.0,4,9.0,1.87,54.0,1,0.184,0.181,0.105,0.25,20,0.2,0.391,0.079,0.4,False,0,50.47,9.45,11.21,15.38,0.6279,0.6113
ai,understand,20,160,1.0,4,10.75,4.15,71.75,2,0.103,0.189,0.074,0.389,25,0.25,0.414,0.104,0.4,False,0,15.31,16.59,17.12,17.92,0.7953,0.7383
ai,understand,13,81,1.0,4,13.25,1.3,65.5,0,0.364,0.369,0.227,0.5,28,0.206,0.162,0.08,0.607,False,0,65.73,7.57,11.21,9.84,0.8486,0.3889
ai,apply,18,113,1.0,4,6.0,0.0,20.0,0,0.527,0.638,0.2,1.0,30,0.2,0.2,0.164,0.667,True,0,30.33,13.25,15.9,10.78,0.7542,0.7897
ai,understand,15,101,1.0,4,2.0,0.71,15.5,3,0.111,0.0,0.0,0.0,27,0.273,0.037,0.0,0.63,True,0,58.41,9.09,11.21,13.16,0.6971,0.3951
ai,apply,27,168,1.0,4,6.25,0.43,18.75,0,0.423,0.486,0.333,0.625,34,0.151,0.111,0.1,0.706,False,0,63.49,7.63,10.13,10.25,0.7513,0.6874
ai,understand,21,119,1.0,4,7.5,0.87,42.5,0,0.093,0.185,0.0,0.556,36,0.163,0.103,0.057,0.75,False,0,72.62,5.86,8.84,2.34,0.7143,0.603
ai,understand,15,115,1.0,4,14.0,0.71,116.0,1,0.213,0.236,0.16,0.381,27,0.077,0.167,0.185,0.741,False,0,37.26,12.04,13.02,17.87,0.7106,0.7868
ai,understand,19,118,1.0,4,13.5,3.2,109.75,1,0.135,0.123,0.107,0.154,23,0.135,0.235,0.095,0.522,False,0,49.52,11.07,13.02,12.25,0.659,0.7838
ai,understand,17,149,1.0,4,9.5,2.06,68.75,2,0.098,0.086,0.053,0.15,15,0.103,0.227,0.077,0.467,False,0,4.99,17.28,17.12,21.11,0.5795,0.6484
ai,remember,11,91,1.0,4,9.75,1.09,69.0,2,0.149,0.153,0.105,0.188,13,0.143,0.333,0.064,0.462,False,0,25.46,12.69,13.02,18.47,0.8767,0.8613
ai,understand,13,87,1.0,4,10.0,2.55,80.25,1,0.154,0.175,0.095,0.263,25,0.226,0.147,0.086,0.6,False,0,59.68,8.41,11.21,11.91,0.7375,0.7456
ai,understand,14,80,1.0,4,7.75,3.77,53.5,2,0.066,0.034,0.0,0.053,23,0.121,0.542,0.011,0.348,True,0,41.55,10.94,13.02,9.43,0.5831,0.6795
ai,evaluate,15,122,1.0,4,9.5,2.29,72.0,1,0.09,0.066,0.05,0.095,25,0.143,0.152,0.031,0.6,False,0,5.49,16.22,15.9,22.44,0.7925,0.6286
ai,understand,15,121,1.0,4,9.75,1.79,70.5,1,0.073,0.086,0.053,0.111,31,0.179,0.049,0.026,0.742,False,0,31.97,12.78,15.9,19.32,0.7131,0.4865
ai,understand,17,112,1.0,4,7.5,2.18,44.5,3,0.092,0.097,0.0,0.2,29,0.243,0.065,0.066,0.69,False,0,50.24,10.48,13.02,13.85,0.6678,0.0725
ai,evaluate,31,218,1.0,4,8.5,2.6,67.75,3,0.064,0.075,0.059,0.1,29,0.25,0.176,0.027,0.517,False,0,21.9,14.06,17.12,16.9,0.6667,0.4619
ai,understand,12,90,1.0,4,9.0,2.45,53.25,1,0.114,0.107,0.1,0.111,24,0.091,0.156,0.08,0.792,False,0,35.51,11.78,14.55,12.74,0.5556,0.6149
ai,understand,13,86,1.0,4,7.25,2.17,48.0,3,0.099,0.089,0.0,0.167,21,0.259,0.042,0.162,0.667,False,0,24.44,13.08,15.9,14.49,0.7836,0.0457
ai,remember,16,130,1.0,4,11.0,0.0,73.0,2,1.0,1.0,1.0,1.0,35,0.109,0.211,0.211,0.629,False,0,36.16,12.94,14.55,15.92,0.204,0.675
ai,remember,21,149,1.0,4,10.5,1.12,72.25,1,0.15,0.14,0.095,0.167,27,0.231,0.219,0.111,0.481,False,0,36.36,13.9,15.9,14.18,0.5459,0.8456
ai,remember,18,121,1.0,4,3.0,0.71,21.5,1,0.206,0.178,0.167,0.2,18,0.091,0.1,0.0,0.722,False,0,51.18,11.09,11.21,12.01,0.3495,0.6014
ai,remember,19,122,1.0,4,6.0,1.22,50.25,2,0.092,0.065,0.0,0.111,22,0.242,0.227,0.062,0.409,False,0,53.76,11.23,13.02,8.69,0.7138,0.597
ai,remember,16,133,1.0,4,9.75,1.48,74.0,1,0.084,0.089,0.048,0.167,21,0.028,0.269,0.072,0.619,False,0,24.06,14.37,14.55,18.97,0.6161,0.779
