subject,bloom_taxonomy_level,stem_word_count,stem_char_count,stem_unique_ratio,num_options,avg_option_word_count,std_option_word_count,avg_option_char_count,correct_answer_index,pairwise_avg_jaccard,avg_distractor_jaccard_to_correct,min_distractor_jaccard_to_correct,max_distractor_jaccard_to_correct,explanation_word_count,expl_to_question_jaccard,expl_to_correct_jaccard,expl_to_distractor_avg_jaccard,expl_new_info_ratio,expl_contains_correct_verbatim,citation_length,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,expl_semantic_to_question_cos,expl_semantic_to_correct_cos
computernetworks,remember,19,145,1.0,4,9.0,1.41,57.5,1,0.149,0.162,0.111,0.25,26,0.452,0.156,0.063,0.346,False,0,52.02,9.11,11.21,9.44,0.7821,0.513
computernetworks,apply,26,195,1.0,4,5.5,1.5,34.75,1,0.118,0.122,0.1,0.167,26,0.156,0.222,0.044,0.577,False,0,25.27,17.44,18.24,13.18,0.7351,0.5478
computernetworks,remember,18,124,1.0,4,9.75,2.49,60.5,1,0.165,0.137,0.095,0.158,20,0.118,0.308,0.106,0.6,False,0,63.61,6.75,8.84,12.83,0.6624,0.854
computernetworks,apply,30,196,1.0,4,4.75,0.43,25.0,1,0.141,0.162,0.111,0.25,27,0.213,0.185,0.044,0.519,False,0,19.52,18.73,18.24,11.42,0.6594,0.5706
computernetworks,remember,16,103,1.0,4,9.0,2.55,64.75,1,0.208,0.171,0.158,0.188,26,0.312,0.083,0.087,0.577,False,0,53.12,9.82,11.21,13.89,0.7355,0.3928
computernetworks,apply,16,132,1.0,4,10.0,1.58,64.25,2,0.045,0.05,0.0,0.15,26,0.077,0.188,0.029,0.731,False,0,-4.5,18.11,17.12,21.35,0.8366,0.7485
computernetworks,remember,13,114,1.0,4,10.25,2.28,66.75,1,0.111,0.115,0.045,0.158,20,0.179,0.308,0.115,0.55,False,0,24.49,11.58,11.21,20.99,0.7182,0.8665
computernetworks,apply,18,125,1.0,4,9.0,1.58,60.0,0,0.274,0.295,0.188,0.385,30,0.143,0.206,0.096,0.633,False,0,31.71,13.56,13.02,14.39,0.6529,0.675
computernetworks,remember,20,150,1.0,4,10.5,3.77,65.0,0,0.056,0.071,0.042,0.087,26,0.095,0.229,0.073,0.577,False,0,31.01,11.54,12.16,16.18,0.3087,0.6513
computernetworks,apply,24,167,1.0,4,9.25,1.3,68.25,1,0.146,0.137,0.105,0.188,30,0.08,0.139,0.065,0.733,False,0,43.96,10.36,11.21,12.71,0.7158,0.7166
