subject,bloom_taxonomy_level,stem_word_count,stem_char_count,stem_unique_ratio,num_options,avg_option_word_count,std_option_word_count,avg_option_char_count,correct_answer_index,pairwise_avg_jaccard,avg_distractor_jaccard_to_correct,min_distractor_jaccard_to_correct,max_distractor_jaccard_to_correct,explanation_word_count,expl_to_question_jaccard,expl_to_correct_jaccard,expl_to_distractor_avg_jaccard,expl_new_info_ratio,expl_contains_correct_verbatim,citation_length,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,expl_semantic_to_question_cos,expl_semantic_to_correct_cos
datamining,understand,21,134,1.0,4,12.75,4.44,91.0,1,0.102,0.096,0.077,0.107,29,0.22,0.195,0.044,0.586,False,0,40.49,12.83,15.9,13.72,0.7522,0.6607
datamining,understand,14,95,1.0,4,16.75,1.64,101.75,1,0.119,0.15,0.094,0.25,32,0.045,0.195,0.09,0.75,False,0,50.61,9.93,14.55,11.61,0.7337,0.4457
datamining,understand,17,124,1.0,4,10.25,4.09,84.0,2,0.127,0.139,0.091,0.2,29,0.122,0.243,0.078,0.621,False,0,40.61,12.31,14.55,14.69,0.7095,0.9106
datamining,understand,11,84,1.0,4,13.5,1.12,86.25,0,0.136,0.175,0.115,0.227,29,0.081,0.194,0.096,0.69,False,0,53.66,8.76,11.21,15.08,0.6016,0.5582
datamining,understand,14,107,1.0,4,11.25,2.17,76.75,1,0.055,0.043,0.04,0.048,34,0.171,0.067,0.048,0.735,False,0,42.55,11.3,13.02,15.34,0.842,0.5212
datamining,understand,22,150,1.0,4,5.25,2.17,40.0,0,0.014,0.0,0.0,0.0,19,0.108,0.15,0.057,0.684,False,0,38.38,13.37,14.55,16.34,0.614,0.7633
datamining,understand,12,80,1.0,4,7.25,1.92,53.75,0,0.057,0.067,0.0,0.125,20,0.143,0.333,0.037,0.45,False,0,50.47,9.45,13.02,11.82,0.7991,0.7905
datamining,understand,20,123,1.0,4,10.75,1.09,81.5,1,0.076,0.082,0.045,0.15,25,0.047,0.121,0.06,0.76,False,0,32.45,11.09,13.82,11.0,0.6345,0.6006
datamining,remember,11,75,1.0,4,11.0,1.22,82.25,1,0.083,0.078,0.043,0.095,26,0.156,0.345,0.069,0.538,False,0,41.85,10.15,11.21,15.25,0.6598,0.6124
datamining,remember,15,100,1.0,4,8.25,2.17,54.75,1,0.407,0.362,0.267,0.462,26,0.108,0.357,0.139,0.538,False,0,37.26,12.04,14.55,12.44,0.6774,0.7529
datamining,understand,15,123,1.0,4,12.25,2.28,94.5,1,0.096,0.125,0.083,0.167,36,0.186,0.209,0.094,0.611,False,0,20.38,14.64,14.55,18.62,0.7535,0.5733
datamining,remember,15,117,1.0,4,9.25,3.27,60.25,1,0.1,0.082,0.056,0.1,18,0.222,0.143,0.135,0.556,False,0,25.36,13.95,17.12,16.58,0.6277,0.6492
datamining,understand,15,111,1.0,4,9.75,4.21,69.75,1,0.104,0.107,0.087,0.143,26,0.171,0.162,0.031,0.538,False,0,16.77,14.65,14.55,18.96,0.6864,0.5477
datamining,understand,18,136,1.0,4,13.25,2.17,103.25,1,0.22,0.255,0.16,0.304,22,0.212,0.267,0.189,0.5,False,0,32.43,13.95,13.02,14.55,0.7746,0.8448
datamining,understand,14,96,1.0,4,13.0,2.92,87.5,1,0.117,0.06,0.036,0.074,28,0.05,0.243,0.026,0.607,False,0,39.33,11.5,13.02,13.55,0.5412,0.7075
datamining,remember,17,140,1.0,4,6.0,0.0,44.0,1,1.0,1.0,1.0,1.0,16,0.179,0.294,0.294,0.375,False,0,34.53,13.91,15.9,13.44,0.2643,0.568
datamining,remember,20,119,1.0,4,2.0,0.0,16.25,3,0.333,0.333,0.333,0.333,18,0.188,0.053,0.053,0.611,False,0,44.52,12.27,14.55,9.58,0.4777,0.3602
datamining,understand,14,108,1.0,4,10.75,2.59,76.0,1,0.143,0.145,0.105,0.2,17,0.24,0.148,0.143,0.588,False,0,26.68,13.51,15.9,14.97,0.821,0.6704
datamining,understand,18,132,1.0,4,10.0,1.22,68.25,1,0.084,0.051,0.048,0.056,28,0.179,0.345,0.056,0.429,False,0,20.35,15.64,17.12,12.9,0.5725,0.614
datamining,understand,16,119,1.0,4,10.0,1.22,68.5,1,0.148,0.111,0.048,0.167,28,0.189,0.114,0.046,0.679,False,0,0.25,17.2,15.9,19.69,0.7666,0.5541
datamining,understand,18,142,1.0,4,12.25,4.49,90.0,0,0.107,0.099,0.071,0.115,27,0.184,0.27,0.038,0.519,False,0,8.26,17.32,18.24,15.93,0.6223,0.7177
datamining,understand,14,95,1.0,4,16.75,1.64,101.75,1,0.119,0.15,0.094,0.25,32,0.045,0.195,0.09,0.75,False,0,50.61,9.93,14.55,11.61,0.7337,0.4457
datamining,understand,15,83,1.0,4,11.0,1.22,63.25,1,0.193,0.168,0.143,0.211,33,0.171,0.179,0.131,0.636,False,0,54.7,7.37,11.21,7.73,0.5956,0.502
datamining,understand,14,86,1.0,4,6.25,1.92,46.5,3,0.075,0.05,0.0,0.083,28,0.167,0.088,0.052,0.75,False,0,63.7,8.35,11.21,7.72,0.4961,0.41
datamining,understand,18,121,1.0,4,10.75,1.92,73.75,0,0.189,0.165,0.143,0.211,24,0.167,0.118,0.075,0.708,False,0,34.26,13.45,14.55,11.72,0.7722,0.4407
datamining,understand,17,115,1.0,4,9.5,1.12,68.0,2,0.393,0.436,0.308,0.538,21,0.226,0.304,0.196,0.524,False,0,31.71,13.56,15.9,11.95,0.8363,0.6963
datamining,understand,16,131,1.0,4,12.25,3.03,82.0,0,0.139,0.141,0.08,0.2,24,0.111,0.25,0.061,0.583,False,0,-26.19,20.89,19.29,23.31,0.7574,0.6531
datamining,understand,14,124,1.0,4,11.25,1.48,75.0,1,0.101,0.094,0.043,0.19,24,0.118,0.194,0.083,0.625,False,0,-28.35,20.94,17.12,23.6,0.779,0.7362
datamining,understand,18,139,1.0,4,10.5,3.91,75.25,1,0.088,0.085,0.043,0.125,20,0.118,0.194,0.024,0.55,False,0,13.11,16.4,17.12,16.65,0.6364,0.5555
datamining,understand,14,121,1.0,4,12.5,4.03,89.5,1,0.105,0.088,0.074,0.103,19,0.138,0.156,0.046,0.632,False,0,-0.15,17.01,15.9,20.51,0.7233,0.6538
datamining,understand,15,130,1.0,4,12.75,2.17,94.75,1,0.066,0.038,0.036,0.04,22,0.156,0.267,0.086,0.5,False,0,10.43,16.03,17.12,18.28,0.7946,0.7545
datamining,understand,14,122,1.0,4,8.5,2.69,65.0,2,0.04,0.054,0.0,0.105,25,0.114,0.31,0.043,0.48,False,0,-5.04,17.94,18.24,20.05,0.6127,0.7292
datamining,understand,13,105,1.0,4,14.75,1.48,105.0,1,0.135,0.135,0.107,0.154,18,0.069,0.25,0.068,0.556,False,0,-1.59,16.71,17.12,22.52,0.5618,0.6882
datamining,understand,19,148,1.0,4,14.0,1.22,102.25,0,0.17,0.148,0.111,0.208,24,0.194,0.182,0.037,0.542,False,0,28.41,14.51,17.12,17.31,0.767,0.765
