subject,bloom_taxonomy_level,stem_word_count,stem_char_count,stem_unique_ratio,num_options,avg_option_word_count,std_option_word_count,avg_option_char_count,correct_answer_index,pairwise_avg_jaccard,avg_distractor_jaccard_to_correct,min_distractor_jaccard_to_correct,max_distractor_jaccard_to_correct,explanation_word_count,expl_to_question_jaccard,expl_to_correct_jaccard,expl_to_distractor_avg_jaccard,expl_new_info_ratio,expl_contains_correct_verbatim,citation_length,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,expl_semantic_to_question_cos,expl_semantic_to_correct_cos
softengineering,analyze,15,121,1.0,4,12.0,2.92,98.5,1,0.192,0.271,0.105,0.588,27,0.135,0.281,0.162,0.593,False,0,10.82,15.73,14.55,20.41,0.7155,0.8659
softengineering,analyze,14,114,1.0,4,10.5,1.5,74.75,2,0.067,0.08,0.045,0.1,20,0.062,0.065,0.011,0.85,False,0,-5.04,17.94,17.12,17.51,0.4786,0.5432
softengineering,analyze,12,95,1.0,4,9.75,2.05,71.25,2,0.084,0.106,0.045,0.167,17,0.16,0.25,0.104,0.471,False,0,-23.9,19.57,18.24,21.37,0.7522,0.6305
softengineering,analyze,13,100,1.0,4,12.25,1.64,78.25,2,0.199,0.244,0.125,0.368,23,0.2,0.357,0.187,0.435,False,0,39.33,11.5,13.02,13.93,0.5984,0.6747
softengineering,analyze,21,134,1.0,4,7.0,0.71,53.0,1,0.074,0.121,0.0,0.364,14,0.094,0.222,0.0,0.643,False,0,40.49,12.83,14.55,13.17,0.4031,0.7419
softengineering,analyze,13,91,1.0,4,9.5,1.5,70.75,1,0.175,0.201,0.125,0.312,19,0.103,0.154,0.105,0.684,False,0,47.6,10.1,11.21,12.74,0.6753,0.7071
softengineering,analyze,13,99,1.0,4,8.75,0.83,69.25,1,0.349,0.471,0.2,1.0,16,0.16,0.5,0.256,0.375,False,0,29.47,12.63,13.02,17.3,0.4358,0.7096
softengineering,analyze,21,141,1.0,4,9.0,1.22,62.5,1,0.062,0.036,0.0,0.056,21,0.2,0.185,0.011,0.476,False,0,13.11,16.4,18.24,16.94,0.6449,0.7274
softengineering,analyze,27,169,1.0,4,8.75,1.79,64.5,1,0.083,0.074,0.059,0.105,23,0.087,0.133,0.109,0.783,False,0,55.27,8.9,10.13,11.65,0.4622,0.6354
softengineering,analyze,20,148,1.0,4,10.5,1.66,71.25,1,0.101,0.062,0.048,0.091,26,0.122,0.147,0.072,0.615,False,0,12.29,16.76,17.12,17.31,0.3994,0.6187
softengineering,apply,29,194,1.0,4,5.75,0.83,49.75,1,0.096,0.101,0.091,0.111,23,0.13,0.037,0.036,0.696,False,0,36.88,16.07,18.24,12.46,0.636,0.673
softengineering,apply,18,125,1.0,4,4.25,0.43,23.5,1,0.065,0.048,0.0,0.143,23,0.281,0.08,0.038,0.609,False,0,30.03,14.04,19.29,12.88,0.6855,0.515
softengineering,apply,22,145,1.0,4,8.25,1.92,56.75,2,0.009,0.018,0.0,0.053,27,0.14,0.267,0.052,0.519,False,0,43.72,12.88,14.55,13.68,0.597,0.6655
softengineering,apply,20,116,1.0,4,9.75,2.28,68.75,1,0.136,0.122,0.056,0.2,28,0.143,0.25,0.098,0.643,False,0,65.3,9.62,11.21,7.37,0.7022,0.8274
softengineering,apply,17,113,1.0,4,6.0,1.22,44.5,1,0.069,0.056,0.0,0.083,25,0.135,0.222,0.048,0.64,False,0,40.29,11.86,14.55,14.53,0.7323,0.8097
softengineering,apply,22,149,1.0,4,4.75,1.48,32.5,2,0.0,0.0,0.0,0.0,28,0.087,0.167,0.0,0.679,False,0,40.04,13.39,15.9,14.43,0.5151,0.726
softengineering,create,34,248,1.0,4,6.25,0.83,44.0,1,0.125,0.25,0.0,0.75,50,0.167,0.118,0.051,0.74,False,0,16.09,20.21,18.24,15.69,0.636,0.6259
softengineering,apply,22,150,1.0,4,9.25,2.17,64.0,1,0.064,0.089,0.0,0.167,28,0.19,0.29,0.058,0.571,False,0,48.53,12.45,13.02,13.17,0.7676,0.6983
softengineering,analyze,15,121,1.0,4,10.5,3.28,110.0,1,0.335,0.488,0.2,1.0,21,0.125,0.261,0.201,0.667,False,0,33.47,13.06,14.55,15.74,0.7476,0.8854
softengineering,analyze,14,101,1.0,4,10.25,0.83,90.25,1,0.265,0.393,0.048,0.818,28,0.135,0.258,0.133,0.643,False,0,37.26,12.04,13.02,13.16,0.698,0.6935
softengineering,analyze,14,107,1.0,4,11.5,2.5,71.75,1,0.077,0.076,0.053,0.095,24,0.152,0.333,0.048,0.417,False,0,42.55,11.3,11.21,14.97,0.5988,0.7486
softengineering,analyze,16,132,1.0,4,2.0,0.0,15.25,2,0.333,0.333,0.333,0.333,19,0.25,0.105,0.05,0.579,True,0,0.47,17.42,18.24,21.01,0.6018,0.6344
softengineering,analyze,16,101,1.0,4,11.75,3.77,105.0,1,0.125,0.156,0.0,0.3,26,0.077,0.375,0.153,0.538,False,0,55.22,9.78,13.02,11.12,0.7496,0.9332
softengineering,analyze,16,131,1.0,4,13.25,3.49,121.0,0,0.196,0.173,0.138,0.208,26,0.135,0.375,0.11,0.538,False,0,10.43,16.03,15.9,21.35,0.6999,0.912
softengineering,analyze,18,124,1.0,4,2.0,0.0,15.25,2,0.333,0.333,0.333,0.333,32,0.351,0.062,0.03,0.562,True,0,36.16,12.94,15.9,14.69,0.7037,0.6078
softengineering,analyze,19,154,1.0,4,2.25,0.43,20.75,2,0.292,0.25,0.25,0.25,19,0.086,0.158,0.068,0.737,False,0,13.11,16.4,19.29,21.0,0.5897,0.7615
softengineering,analyze,16,121,1.0,4,2.0,0.0,15.5,3,0.333,0.333,0.333,0.333,14,0.364,0.143,0.067,0.357,True,0,15.4,15.33,14.55,17.94,0.7256,0.6714
