pdf,tier,mode,page_count,chunk_count,token_count,window_count,time_extraction_s,time_chunking_s,time_tokenize_s,time_embedding_s,time_store_s,time_cache_load_s,time_total_s,error
2chapter_software.pdf,PDFs,fresh,60,134,34126,5,15.877,2.984,0.209,195.777,1.002,,215.884,
CA_chapter11.pdf,PDFs,fresh,43,103,24383,4,48.424,1.542,0.096,156.465,0.166,,206.722,
CA_chapter5.pdf,PDFs,fresh,39,84,19093,3,64.942,1.03,0.083,116.94,0.454,,183.479,
CN_ch1.pdf,PDFs,fresh,77,159,40915,6,43.83,5.04,0.205,236.359,0.798,,286.363,
C_chapter2.pdf,PDFs,fresh,17,38,10739,2,3.153,1.948,0.192,79.037,0.077,,84.572,
C_chapter5.pdf,PDFs,fresh,31,54,13054,2,18.286,0.588,0.061,79.174,0.104,,98.335,
DBMS_chapter17.pdf,PDFs,fresh,24,43,11101,2,9.241,0.468,0.059,79.763,0.249,,89.893,
DBMS_chapter7.pdf,PDFs,fresh,63,117,32371,5,18.98,4.089,0.164,206.064,0.18,,230.061,
EDC_chapter1.pdf,PDFs,fresh,50,84,18026,3,103.984,0.948,0.083,148.833,0.169,,254.153,
EDC_chapter3.pdf,PDFs,fresh,31,49,10935,2,57.204,0.798,0.199,82.452,0.13,,140.89,
embeddings.pdf,PDFs,fresh,21,56,14187,2,14.63,0.695,0.07,80.652,0.134,,96.3,
os_chapter2.pdf,PDFs,fresh,89,209,54797,8,24.145,9.515,0.265,393.498,0.274,,427.957,
os_chapter6.pdf,PDFs,fresh,30,74,19500,3,8.901,3.067,0.1,142.669,0.39,,155.262,
word_tokens.pdf,PDFs,fresh,32,110,29227,4,18.27,2.14,0.126,187.96,0.641,,209.528,
