pdf,tier,mode,page_count,chunk_count,time_extraction_s,time_chunking_s,time_embedding_s,time_store_s,time_cache_load_s,time_total_s,error
2chapter_software.pdf,PDFs,fresh,60,132,15.463,4.426,76.504,1.551,,97.981,
CA_chapter11.pdf,PDFs,fresh,43,97,54.861,3.116,53.367,0.152,,111.532,
CA_chapter5.pdf,PDFs,fresh,39,83,77.189,1.0,43.024,0.129,,121.374,
CN_ch1.pdf,PDFs,fresh,77,154,46.449,4.27,89.363,0.6,,140.807,
C_chapter2.pdf,PDFs,fresh,17,38,6.285,0.436,23.545,0.242,,30.594,
C_chapter5.pdf,PDFs,fresh,31,49,19.495,0.549,28.115,0.199,,48.446,
DBMS_chapter17.pdf,PDFs,fresh,24,43,9.106,0.471,25.251,0.072,,34.98,
DBMS_chapter7.pdf,PDFs,fresh,63,117,18.586,4.168,72.223,0.575,,95.594,
EDC_chapter1.pdf,PDFs,fresh,50,78,96.24,0.901,40.073,0.348,,137.665,
EDC_chapter3.pdf,PDFs,fresh,31,46,54.416,0.465,23.276,0.093,,78.348,
embeddings.pdf,PDFs,fresh,21,55,14.45,0.639,31.066,0.108,,46.484,
os_chapter2.pdf,PDFs,fresh,89,209,23.903,8.466,121.79,0.218,,154.487,
os_chapter6.pdf,PDFs,fresh,30,73,7.814,2.748,43.681,0.156,,54.429,
word_tokens.pdf,PDFs,fresh,32,107,17.794,1.93,64.76,0.161,,84.678,
