pdf,tier,mode,page_count,chunk_count,time_extraction_s,time_chunking_s,time_embedding_s,time_store_s,time_cache_load_s,time_total_s,error
A Survey on Automated Program Repair Techniques.pdf,large,fresh,55,1567,21.982,0.009,226.469,0.927,,249.896,
A fast in-place interpreter for WebAssembly.pdf,large,fresh,25,244,20.796,0.003,34.847,0.192,,55.923,
Constitutional AI_.pdf,large,fresh,34,529,11.171,0.005,124.122,0.341,,135.763,
Federated Learning.pdf,large,fresh,21,290,8.27,0.003,44.902,0.246,,53.506,
Language_models_are_few_shot_learners.pdf,large,fresh,75,1091,127.501,0.009,270.841,1.649,,400.2,
Neural_network_analysis_of_neutron_and_X-ray_reflectivity_data.pdf,large,fresh,30,199,10.424,0.007,42.086,0.571,,53.168,
Random matrix theory of polarized light scattering in disordered.pdf,large,fresh,30,345,14.746,0.015,73.471,0.723,,89.312,
Representation Dependence in Probabilistic Inference.pdf,large,fresh,38,421,12.143,0.004,98.843,0.287,,111.578,
Software-Defined Networking.pdf,large,fresh,61,1857,43.517,0.013,374.428,1.663,,419.904,
The Case for Learned Index Structures.pdf,large,fresh,30,433,10.784,0.004,82.546,0.324,,93.685,
chain_of_thoughts.pdf,large,fresh,43,628,16.232,0.004,137.221,1.007,,154.494,
llama.pdf,large,fresh,27,441,12.221,0.014,109.985,0.265,,122.57,
An_Image_is_worth_16x16_words.pdf,medium,fresh,22,316,16.846,0.003,70.87,0.729,,88.479,
Bert.pdf,medium,fresh,16,284,7.481,0.003,59.011,0.693,,67.232,
Deep_residual_learning_for_image_recognition.pdf,medium,fresh,12,273,6.819,0.009,59.516,0.246,,66.656,
Gradient Centralization.pdf,medium,fresh,20,178,24.393,0.002,42.617,0.659,,67.693,
Hurtful_words.pdf,medium,fresh,16,356,21.966,0.002,92.435,0.216,,114.647,
LoRA.pdf,medium,fresh,26,412,50.368,0.004,100.464,0.257,,151.122,
MPNet.pdf,medium,fresh,14,203,7.45,0.002,43.828,0.144,,51.45,
PrivGAN_ .pdf,medium,fresh,21,240,33.654,0.01,49.442,0.169,,83.321,
Reduction for asynchronous Boolean networks.pdf,medium,fresh,16,181,7.241,0.006,36.626,0.142,,44.053,
Spectre Attacks.pdf,medium,fresh,16,286,8.138,0.003,48.686,0.208,,57.055,
Unseen Object Segmentation in Videos.pdf,medium,fresh,16,163,10.438,0.002,33.967,0.157,,44.608,
attention_is_all_you_need.pdf,medium,fresh,15,172,12.972,0.005,38.406,0.137,,51.561,
Anomaly Detection in Power Grids via Context-Agnostic Learning.pdf,short,fresh,8,82,14.124,0.001,15.592,0.115,,29.855,
EU_AI_ACT.pdf,short,fresh,13,198,8.385,0.003,27.371,0.434,,36.212,
Edge Computing.pdf,short,fresh,10,179,13.424,0.001,29.204,0.505,,43.191,
GAN.pdf,short,fresh,9,111,3.649,0.001,21.328,0.11,,25.142,
Time-dependent_resonant_magneto-optical_rotation.pdf,short,fresh,10,66,12.506,0.001,11.997,0.084,,24.609,
Yolo.pdf,short,fresh,10,146,9.338,0.001,34.091,0.42,,43.894,
Manual_DBMS_Sagarmatha_1680228606625.pdf,very_large,fresh,165,651,156.136,0.005,135.35,0.412,,292.048,
