pdf,tier,mode,page_count,chunk_count,token_count,window_count,time_extraction_s,time_chunking_s,time_tokenize_s,time_embedding_s,time_store_s,time_cache_load_s,time_total_s,error
A Survey on Automated Program Repair Techniques.pdf,large,fresh,55,1567,107048,15,36.297,0.01,0.492,680.715,1.081,,718.63,
A fast in-place interpreter for WebAssembly.pdf,large,fresh,25,296,18775,3,25.304,0.004,0.101,121.717,0.21,,147.352,
Constitutional AI_.pdf,large,fresh,34,529,35372,5,13.051,0.016,0.638,204.263,1.309,,219.297,
Federated Learning.pdf,large,fresh,21,290,16451,3,8.464,0.004,0.097,122.497,0.733,,131.83,
Language_models_are_few_shot_learners.pdf,large,fresh,75,1114,106903,15,139.78,0.009,0.47,607.591,1.259,,749.243,
Neural_network_analysis_of_neutron_and_X-ray_reflectivity_data.pdf,large,fresh,30,200,12044,2,10.753,0.002,0.058,84.129,0.16,,95.114,
Random matrix theory of polarized light scattering in disordered.pdf,large,fresh,30,345,21205,3,16.363,0.003,0.115,121.736,0.24,,138.474,
Representation Dependence in Probabilistic Inference.pdf,large,fresh,38,483,32809,5,13.017,0.004,0.151,202.682,1.257,,217.124,
Software-Defined Networking.pdf,large,fresh,61,1857,134877,19,46.188,0.014,0.643,769.428,1.087,,817.433,
The Case for Learned Index Structures.pdf,large,fresh,30,433,29572,4,11.015,0.006,0.135,161.222,0.363,,172.795,
chain_of_thoughts.pdf,large,fresh,43,628,51952,8,16.32,0.017,0.882,323.299,0.374,,340.908,
llama.pdf,large,fresh,27,441,42771,6,13.697,0.014,0.24,240.11,0.301,,254.378,
An_Image_is_worth_16x16_words.pdf,medium,fresh,22,317,27005,4,18.553,0.002,0.125,161.45,0.212,,180.373,
Bert.pdf,medium,fresh,16,284,22012,3,9.213,0.002,0.108,121.0,0.74,,131.08,
Deep_residual_learning_for_image_recognition.pdf,medium,fresh,12,273,22648,4,7.007,0.002,0.112,161.551,0.208,,168.913,
Gradient Centralization.pdf,medium,fresh,20,179,16695,3,24.521,0.002,0.079,120.723,0.24,,145.585,
Hurtful_words.pdf,medium,fresh,16,356,37556,6,22.951,0.01,0.617,240.682,0.224,,264.505,
LoRA.pdf,medium,fresh,26,413,39692,6,49.168,0.003,0.164,238.975,0.857,,289.188,
MPNet.pdf,medium,fresh,14,203,16588,3,7.218,0.002,0.085,119.943,0.624,,127.895,
PrivGAN_ .pdf,medium,fresh,21,240,18906,3,26.86,0.002,0.088,119.893,0.629,,147.551,
Reduction for asynchronous Boolean networks.pdf,medium,fresh,16,208,15623,3,4.617,0.009,0.292,119.91,0.161,,125.048,
Spectre Attacks.pdf,medium,fresh,16,295,17900,3,7.542,0.011,0.334,119.822,0.218,,127.948,
Unseen Object Segmentation in Videos.pdf,medium,fresh,16,163,12498,2,10.992,0.001,0.065,79.685,0.203,,90.988,
attention_is_all_you_need.pdf,medium,fresh,15,172,14623,2,12.396,0.001,0.066,79.531,0.225,,92.245,
Anomaly Detection in Power Grids via Context-Agnostic Learning.pdf,short,fresh,8,84,5644,1,14.832,0.001,0.031,22.448,0.566,,37.899,
EU_AI_ACT.pdf,short,fresh,13,198,8753,2,10.469,0.004,0.049,78.825,0.242,,89.657,
Edge Computing.pdf,short,fresh,10,179,10400,2,12.228,0.001,0.059,79.37,0.269,,91.95,
GAN.pdf,short,fresh,9,111,7521,1,4.009,0.002,0.047,34.999,0.117,,39.244,
Time-dependent_resonant_magneto-optical_rotation.pdf,short,fresh,10,66,4039,1,13.338,0.001,0.03,13.38,0.093,,26.863,
Yolo.pdf,short,fresh,10,166,15694,3,7.259,0.001,0.073,120.134,0.519,,128.024,
Manual_DBMS_Sagarmatha_1680228606625.pdf,very_large,fresh,165,671,49168,7,150.541,0.006,0.226,277.829,0.432,,429.183,
